observer, scene, distortion_A, distortion_B, level_A, level_B, tmo_A, tmo_B, is_A_selected
"observer0002", "Courtyard", "125", "63", "1600", "1600", "Fixed", "ContentAware", 1
"observer0002", "Street", "125", "250", "64", "40000", "Fixed", "Fixed", 0
"observer0002", "Earth", "125", "500", "8000", "64", "ContentAware", "ContentAware", 1
"observer0002", "Web", "1000", "250", "1600", "64", "Fixed", "Fixed", 1
"observer0002", "Street", "1000", "500", "8000", "64", "Fixed", "ContentAware", 1
"observer0002", "Earth", "1000", "250", "320", "1600", "Fixed", "Fixed", 0
"observer0002", "Courtyard", "1000", "500", "8000", "40000", "Fixed", "Fixed", 0
"observer0002", "Earth", "63", "250", "64", "40000", "ContentAware", "Fixed", 0
"observer0002", "Street", "500", "250", "1600", "40000", "Fixed", "ContentAware", 1
"observer0002", "Earth", "500", "500", "8000", "1600", "Fixed", "ContentAware", 1
"observer0002", "Web", "1000", "63", "1000000", "8000", "Fixed", "ContentAware", 1
"observer0002", "Web", "250", "500", "320", "320", "ContentAware", "ContentAware", 0
"observer0002", "Courtyard", "500", "125", "320", "64", "ContentAware", "ContentAware", 1
"observer0002", "Web", "63", "125", "40000", "320", "ContentAware", "ContentAware", 0
"observer0002", "Earth", "250", "250", "40000", "8000", "Fixed", "ContentAware", 0
"observer0002", "Street", "500", "500", "40000", "8000", "ContentAware", "Fixed", 0
"observer0002", "Courtyard", "125", "63", "64", "64", "Fixed", "ContentAware", 1
"observer0002", "Courtyard", "250", "500", "8000", "1600", "Fixed", "Fixed", 0
"observer0002", "Courtyard", "1000", "1000", "320", "40000", "ContentAware", "ContentAware", 0
"observer0002", "Street", "125", "63", "8000", "64", "Fixed", "Fixed", 1
"observer0002", "Web", "63", "500", "1600", "1600", "ContentAware", "Fixed", 0
"observer0002", "Street", "1000", "125", "320", "320", "Fixed", "Fixed", 1
"observer0002", "Courtyard", "250", "500", "40000", "40000", "Fixed", "ContentAware", 0
