scene,content_type,tmo,jod,jod_low,jod_high
Showgirl,entertainment,1000_40000_Fixed,3.24399001773838,1.68478792121146,5.26065767704305
Showgirl,entertainment,1000_40000_ContentAware,2.55037437092908,1.25579253220653,4.71254333019087
Showgirl,entertainment,1000_64_Fixed,-0.542367058300006,-1.41562011243245,0.0809497777879998
Showgirl,entertainment,1000_64_ContentAware,0.208629759869225,-0.830007661871002,1.38329844638183
Showgirl,entertainment,1000_8000_Fixed,2.99833174043051,1.50332424563791,4.41292960939427
Showgirl,entertainment,1000_8000_ContentAware,3.04040940516845,1.48392855695365,5.01332114182593
Showgirl,entertainment,125_1600_Fixed,-2.30916398508946,-3.64447278652815,-1.3799373116149
Showgirl,entertainment,125_1600_ContentAware,-0.547475229701704,-1.52659321431119,0.10743459196698
Showgirl,entertainment,125_320_Fixed,-2.30622752117683,-3.46411047347541,-1.19857716878536
Showgirl,entertainment,125_320_ContentAware,-0.825575072427078,-1.8924115461271,0.0681809078258584
Showgirl,entertainment,125_40000_Fixed,-1.661277639714,-2.66991974192492,-0.659226860488316
Showgirl,entertainment,125_40000_ContentAware,-0.990188065035786,-2.29436389065557,0.628295081335471
Showgirl,entertainment,125_64_Fixed,-1.59644147460729,-2.68670782319376,-0.615496539066812
Showgirl,entertainment,125_64_ContentAware,-1.24281911698663,-2.22199817051665,-0.480361861561492
Showgirl,entertainment,125_8000_Fixed,-2.68135401367978,-4.64107446435003,-1.57777835819468
Showgirl,entertainment,125_8000_ContentAware,-1.07528621897099,-1.89113116598195,-0.539252090616437
Showgirl,entertainment,250_1600_Fixed,-0.00418059776517221,-0.936727339992831,0.648635329040475
Showgirl,entertainment,250_1600_ContentAware,0.852669316304781,0.17913136940073,1.49102124629927
Showgirl,entertainment,250_320_Fixed,-0.80220010093399,-1.62732112625797,-0.0714587252525049
Showgirl,entertainment,250_320_ContentAware,0.57908401367824,0.0951917553963273,1.16228357312029
Showgirl,entertainment,250_40000_Fixed,-0.576297659230469,-1.45126451157446,0.367369994035194
Showgirl,entertainment,250_40000_ContentAware,0.701697411943454,-0.120937731939467,1.70533319956304
Showgirl,entertainment,250_64_Fixed,-0.853160508493671,-1.8326890118651,0.22907671330497
Showgirl,entertainment,250_64_ContentAware,-0.859503523474384,-1.59594996366696,-0.107640378293675
Showgirl,entertainment,250_8000_Fixed,-0.0206883176291416,-0.995329705831776,0.887794890656623
Showgirl,entertainment,250_8000_ContentAware,-0.00771476349274265,-1.5960472882287,0.998633068008109
Showgirl,entertainment,500_1600_Fixed,1.94188615384148,0.888883599477475,3.37334127648697
Showgirl,entertainment,500_1600_ContentAware,3.08898682638654,1.00233992835182,5.53689101660012
Showgirl,entertainment,500_320_Fixed,2.74296365982006,1.36410331805278,4.31993262796666
Showgirl,entertainment,500_320_ContentAware,1.59421688626197,0.615458740993156,2.54424609843327
Showgirl,entertainment,500_40000_Fixed,1.92738870860527,0.977752336863113,2.9166429522727
Showgirl,entertainment,500_40000_ContentAware,0.715534784836734,-0.0658566953746331,1.49614045361471
Showgirl,entertainment,500_64_Fixed,0.504377162791654,-0.71408423997024,1.29477387360531
Showgirl,entertainment,500_64_ContentAware,0.0974248065825353,-0.812275544697671,0.87586233394476
Showgirl,entertainment,500_8000_Fixed,1.92469053078503,0.183895339657526,3.82780568001723
Showgirl,entertainment,500_8000_ContentAware,1.94096445990847,0.406252515812556,3.02446761677595
Showgirl,entertainment,63_1600_Fixed,-5.87795260030932,-7.34651951668629,-2.44748451458985
Showgirl,entertainment,63_1600_ContentAware,-1.28218110020713,-3.00890912128069,0.0473626174458037
Showgirl,entertainment,63_320_Fixed,-3.54486344553089,-6.34594766632137,-1.8191414074318
Showgirl,entertainment,63_320_ContentAware,-1.33099478044113,-3.01146012984871,-0.200692693241241
Showgirl,entertainment,63_40000_Fixed,-3.35882846767556,-5.66466320669874,-2.37758898299949
Showgirl,entertainment,63_40000_ContentAware,-1.33829951138297,-2.24847213569093,-0.392343943529888
Showgirl,entertainment,63_64_Fixed,-3.59060196504583,-5.92922098861138,-1.55475670401555
Showgirl,entertainment,63_64_ContentAware,-1.9542033976418,-3.46520961333103,-1.05240141658522
Showgirl,entertainment,63_8000_Fixed,-2.06681654325278,-4.64806284755935,-1.01934003142116
Showgirl,entertainment,63_8000_ContentAware,-2.63523584951481,-4.1735136901495,-1.28255592998677
Smith,entertainment,1000_1000000_Fixed,3.2004541099262,1.77666772132327,5.94299020372939
Smith,entertainment,1000_1600_Fixed,-0.380492567054921,-1.62987973712734,1.70827755279753
Smith,entertainment,1000_1600_ContentAware,-0.193479266866197,-1.27588766589144,1.31709099458686
Smith,entertainment,1000_320_Fixed,-3.12139360746691,-10.0308394698449,-1.58064238680878
Smith,entertainment,1000_320_ContentAware,-4.62417983200449,-13.8854685299185,-1.58930820292601
