scene,contrast,peakLuminance,jod,jod_low,jod_high
Face1,8000,125,5.24038437920698,1.5810983053062,7.47241833945088
Face1,8000,250,4.66882854374072,1.22683138843141,6.86666774145322
Face1,8000,500,5.02522446930326,1.4737575101035,7.17493470597308
Face1,8000,63,3.84844062813901,0.285291011206412,6.06488503197302
Face1,8000,980,4.32689096419712,0.86232414157703,6.64915642807471
Courtyard,1000000,980,3.05969408495329,2.06471539994008,4.11133035410176
Courtyard,1600,125,-0.365027794913509,-1.30794425495002,0.0198308082236012
Courtyard,1600,250,1.89771148677899,0.718408587280346,2.9286509630033
Courtyard,1600,500,2.53726727015331,1.55623187944569,3.3003506408641
Courtyard,1600,63,-2.2560905027389,-3.76703023334692,-1.54868955719207
Courtyard,1600,980,2.0696982916126,1.06317753099943,2.79189075147209
Courtyard,320,125,0.147717548842684,-1.02480014518008,0.862750265865124
Courtyard,320,250,0.957365104783794,0.162282668951651,1.66669229299176
Courtyard,320,500,1.81843795817797,0.566449175205874,2.6179790552071
Courtyard,320,63,-2.1532290777113,-3.77716701321464,-1.06048322420681
Courtyard,320,980,1.64270276008557,0.230595435681031,2.36125912746383
Courtyard,40000,125,-1.090524291301,-2.1210343273322,-0.307720855143038
Courtyard,40000,250,0.954866254310889,-0.203199307608108,2.9378931974281
Courtyard,40000,500,2.39910515863045,1.36538088455482,3.15577458400612
Courtyard,40000,63,-2.7566701219465,-4.62029587888401,-1.51845029554258
Courtyard,40000,980,2.86654648291157,1.90255530574007,4.11100037783102
Courtyard,64,125,-1.39313695681899,-2.55762530653016,-0.758608422262189
Courtyard,64,250,-1.16692854902984,-2.58589980966634,-0.379695948531105
Courtyard,64,500,-0.275458356485271,-2.45387016324654,0.774186569383454
Courtyard,64,63,-11.5962692190334,-12.9181912287895,-3.8869175272248
Courtyard,64,980,-1.55516517677489,-3.24826228002344,-1.09634686511186
Courtyard,8000,125,-0.0747507182648725,-1.51465820242168,0.531772407444608
Courtyard,8000,250,1.83741814542383,0.737109607242994,2.74095877878796
Courtyard,8000,500,1.30021001343521,0.312947879061832,1.93577394518227
Courtyard,8000,63,-1.81238895160608,-3.38185018407353,-1.04701505555155
Courtyard,8000,980,3.0068991565244,2.02957302348194,4.03891493800074
Earth,1000000,980,2.71381425051798,1.48041132982362,3.99780690657649
Earth,1600,125,-0.456090348654268,-1.1675904189089,0.223230025082922
Earth,1600,250,0.953877337926402,0.138328847188101,1.99161418719731
Earth,1600,500,1.5493091835964,0.840019592609854,2.99951389192734
Earth,1600,63,-2.65631803263868,-4.57260834124449,-1.14344352436031
Earth,1600,980,2.08524069434709,0.879336409154103,3.57105103295332
Earth,320,125,-0.894356552924659,-1.50984404336337,-0.200038859811231
Earth,320,250,0.665461564923484,-0.125671362750124,1.2783467623435
Earth,320,500,1.33210408172442,0.446148811173256,2.37387608123122
Earth,320,63,-3.53563668959919,-6.19028033688736,-2.1265026991672
Earth,320,980,0.533457650356064,-0.460656798500395,1.73493902704196
Earth,40000,125,0.0582661438507147,-1.03245328975749,0.898924048626888
Earth,40000,250,-0.209362651183937,-1.03933041011715,0.879271339259617
Earth,40000,500,3.08132894200166,2.01344788938762,5.08471611868079
Earth,40000,63,-1.86117957075883,-3.18394213144696,-0.835037383584463
Earth,40000,980,2.80628848504761,1.61699845546861,4.37009764078384
Earth,64,125,-1.36184638307455,-2.44583949855392,-0.37217767123469
Earth,64,250,-1.30493682290806,-2.66387115595117,-0.503291883952409
Earth,64,500,-0.758254049451379,-1.85588812591099,0.3948798528162
Earth,64,63,-2.61150821250921,-4.69513679763996,-1.53556281911104
Earth,64,980,-1.87421228822046,-3.01965917099507,-0.671117196703951
Earth,8000,125,-0.484999234277533,-1.15393955665739,0.38822463801944
Earth,8000,250,1.20360319061266,0.201150200412945,2.2532716632419
Earth,8000,500,1.61137415535051,0.886393186204608,2.63324376838749
Earth,8000,63,-2.86295277688894,-4.33653063437775,-2.09697037810697
Earth,8000,980,2.2775279328347,1.28144222582167,3.39231866136561
Werewolf,1000000,980,2.51290468512317,1.55873887212837,4.02121596993575
Werewolf,1600,125,-0.683300609590441,-1.5383874459491,0.105592638643694
Werewolf,1600,250,0.75663938403217,-0.0598631841497773,2.21372123438036
Werewolf,1600,500,2.48784303150532,1.46439052408944,4.03435294523289
Werewolf,1600,63,-3.90360285401407,-6.02007743597012,-2.62344451469552
Werewolf,1600,980,1.69370554525365,1.04545894980924,2.93278962489749
Werewolf,320,125,-1.21102004912245,-2.30562455421326,-0.598838447763529
Werewolf,320,250,0.240467791134333,-0.4859758434954,0.903848358582865
Werewolf,320,500,1.12229145560486,0.26691027022049,2.61662512633985
Werewolf,320,63,-2.49864699723773,-4.54263948715931,-1.25662395294747
Werewolf,320,980,2.40858299043633,1.56125668968848,3.57857983227992
Werewolf,40000,125,-0.577839447250936,-1.92557478938645,0.28057704648517
Werewolf,40000,250,1.06478166321031,0.46923769333377,2.10433308136178
Werewolf,40000,500,2.66010003773031,1.66608485954915,4.2895884341418
Werewolf,40000,63,-3.17971051712065,-5.16205348951112,-1.79365164765613
Werewolf,40000,980,2.77207054831485,1.77028860765697,4.27601924123094
Werewolf,64,125,-2.14277042852622,-3.38743073805692,-1.43774970439438
Werewolf,64,250,-0.794493387195791,-2.55100930662955,0.0159775063940467
Werewolf,64,500,0.635651443221006,-0.106579465667782,1.28041719151561
Werewolf,64,63,-2.78568996803812,-5.01500419532855,-1.64753033326003
Werewolf,64,980,-2.41625613568967,-4.11847758082787,-1.28959927951124
Werewolf,8000,125,-1.05164915754347,-2.01792500839354,-0.0340240615366593
Werewolf,8000,250,1.25342652562257,0.73421922486252,2.1275597817263
Werewolf,8000,500,2.35227220761328,1.67490933512635,3.47699966772174
Werewolf,8000,63,-3.00054724945282,-4.41421993537374,-2.1269372793274
Werewolf,8000,980,2.2847894919802,1.29119035427328,3.63169323696542
